time,Centraal Station,Vaartsche-Rijn-B,Vaartsche-Rijn-A,Galgenwaard-B,UMC-A,UMC-B,WKZ-B,Heidelberglaan-A,Heidelberglaan-B,Galgenwaard-A,Kromme-Rijn-A,Kromme-Rijn-B,Padualaan-A,Padualaan-B,P+R De Uithof,WKZ-A
12:00:00,12.79106789,1.180651976,0.1879137035,0.9473317679,0.006349206349,1.013703894,0.2329831758,0.0142882947,4.105184951,0.6025934503,0.04818961253,0.2524220762,0.01128571047,4.156477966,0.07766105861,0.006349206349
12:15:00,14.61240036,1.079957494,0.1956079063,0.8596432963,0.003174603175,0.8621547339,0.4101899751,0.03258635953,5.296174615,0.8104088859,0.08325516078,0.1635641804,0.01736494163,3.427460177,0.1367299917,0.003174603175
12:30:00,16.767847,1.493064644,0.2232249064,0.8663880619,0.01150985354,0.9248189754,0.3626876972,0.03382019275,8.350299128,0.9409175791,0.07664441017,0.3562594618,0.003174603175,4.617534414,0.1208958991,0.01150985354
12:45:00,12.96318005,1.088272734,0.4924612138,0.7596017648,0,1.306026027,0.2136872131,0.06851602147,11.38701171,1.766610551,0.2062299219,1.150845595,0.04961822344,5.958936813,0.07122907102,0
13:00:00,8.720051184,1.0542826,0.2031762875,0.7969000072,0.003174603175,1.152626202,0.1767000751,0.07088883913,6.926891072,0.8645902529,0.1703369434,0.9845821214,0.04088076301,6.795038955,0.05890002504,0.003174603175
13:15:00,6.885197492,1.151927264,0.1274362869,0.8646915466,0,0.6513319089,0.2553222091,0.01787980523,4.46849195,0.4493902204,0.0459266204,0.4243821617,0.01195902691,5.005897478,0.08510740302,0
13:30:00,7.563034109,1.461640387,0.1324646817,1.012395156,0.003174603175,0.717195593,0.4866130203,0.01252417076,4.372599042,0.3349413541,0.04289513757,0.2358351932,0.009279351684,4.405998911,0.1622043401,0.003174603175
13:45:00,5.599188107,0.9707677143,0.1866804199,1.277389047,0.07936507937,0.6305516252,0.1766795824,0.06358126067,5.732815767,0.3713542929,0.04286185756,0.2972035898,0.003174603175,3.959307295,0.05889319412,0.07936507937
14:00:00,5.484434071,1.454140421,0.08073599324,1.506367933,0,1.052917323,0.1922749441,0.02299093656,5.839225868,0.3270075316,0.04264902501,0.1862218785,0.03132802805,4.169670691,0.06409164803,0
14:15:00,7.034697848,1.918458823,0.1677218443,0.8848837711,0,0.9976183038,0.1972469037,0.01586004066,6.402054667,0.2916400533,0.03860593874,0.3069881926,0.009523809524,5.037311129,0.06574896789,0
14:30:00,7.703266163,1.003308811,0.2394372071,0.700017532,0.003174603175,1.151674456,0.4580206056,0.03631424664,7.581956059,0.522855934,0.05619761013,0.2622235774,0.0149076522,4.698511776,0.1526735352,0.003174603175
14:45:00,5.829387237,0.9179946623,0.2826891532,0.7562473273,0.005549072994,1.848119608,0.4654232795,0.05287782294,10.51312443,0.4277202733,0.1574798824,0.4132644546,0.0259569567,5.578093578,0.1551410932,0.005549072994
