run,totalPassengers,totalWaitingTime,averageWaitingTime,maxWaitingTime,csTotalDepartures,csTotalDelays,csTotalDelayTime,csMaximumDelay,csAverageDelay,csPercentageOfDelays,csTotalJunctionWaitingTime,csAverageJunctionWaitingTime,csMaximumJunctionWaitingTime,csJunctionArrivals,prTotalDepartures,prTotalDelays,prTotalDelayTime,prMaximumDelay,prAverageDelay,prPercentageOfDelays,prTotalJunctionWaitingTime,prAverageJunctionWaitingTime,prMaximumJunctionWaitingTime,prJunctionArrivals
1,60676,8507356,140,990,192,1,135,135,135,0.5208334,36311,99,579,366,193,4,477,179,119,2.0725389,60845,166,649,365,
2,60905,8460396,138,771,192,21,3477,361,165,10.9375,39252,107,479,366,193,0,0,0,0,0.0,56039,153,647,365,
3,60766,8322269,136,869,192,7,1026,234,146,3.6458333,33941,92,475,368,193,1,135,135,135,0.5181347,56026,153,629,365,
4,60551,8345831,137,757,192,12,1728,281,144,6.25,34340,93,477,367,193,0,0,0,0,0.0,59229,162,568,365,
5,60748,8547323,140,743,192,6,731,188,121,3.125,37324,101,478,366,193,0,0,0,0,0.0,57249,156,634,365,
6,60950,8851502,145,895,192,10,2555,483,255,5.208333,39737,107,612,368,193,1,135,135,135,0.5181347,54613,149,635,365,
7,60982,8039550,131,709,192,4,517,215,129,2.0833335,38435,104,474,367,193,1,145,145,145,0.5181347,63161,172,632,366,
8,61288,8474457,138,770,192,7,785,144,112,3.6458333,34302,93,425,366,193,0,0,0,0,0.0,62175,170,694,365,
9,60790,8050197,132,802,192,0,0,0,0,0.0,37877,103,520,366,193,0,0,0,0,0.0,58059,158,603,366,
10,60992,8433463,138,831,192,0,0,0,0,0.0,38797,106,499,366,193,6,781,191,130,3.1088083,58636,160,640,365,
11,60859,8415633,138,894,191,7,1249,303,178,3.6649215,40380,110,528,366,192,1,135,135,135,0.5208334,59004,161,636,365,
12,60732,8265359,136,864,192,5,530,199,106,2.6041665,37347,102,471,366,193,1,135,135,135,0.5181347,57229,156,662,365,
13,61260,8472526,138,738,192,11,1396,218,126,5.729167,37798,103,500,366,193,1,135,135,135,0.5181347,57049,155,633,366,
14,60668,8558827,141,1018,192,3,410,185,136,1.5625,35670,97,461,366,193,7,1030,276,147,3.626943,58059,159,674,365,
15,60911,8328776,136,854,192,1,135,135,135,0.5208334,34113,93,569,366,193,0,0,0,0,0.0,60666,166,641,365,
16,60659,7854206,129,612,192,0,0,0,0,0.0,35802,97,441,366,193,0,0,0,0,0.0,65821,180,634,365,
17,60373,8209362,135,877,192,4,464,153,116,2.0833335,36195,98,491,366,193,2,234,162,117,1.0362694,62563,171,761,365,
18,60798,8336234,137,793,192,1,136,136,136,0.5208334,36593,99,605,366,193,0,0,0,0,0.0,61927,169,649,365,
19,60666,8005658,131,733,192,1,135,135,135,0.5208334,35730,97,458,365,193,0,0,0,0,0.0,62758,171,649,365,
20,61260,8474041,138,756,192,6,597,135,99,3.125,31638,86,468,366,193,4,508,193,127,2.0725389,60821,166,619,365,
21,60710,8378958,138,831,192,3,374,135,124,1.5625,33066,90,430,367,193,3,365,173,121,1.5544041,54225,148,565,365,
22,60897,8631701,141,756,192,6,671,170,111,3.125,39500,107,480,368,194,8,1507,354,188,4.123711,56195,154,561,364,
23,60870,8492860,139,723,192,11,1887,362,171,5.729167,35187,96,539,366,193,0,0,0,0,0.0,61113,167,703,364,
24,60846,8499320,139,850,192,13,2439,430,187,6.7708335,38805,105,496,367,193,3,477,224,159,1.5544041,58738,160,658,365,
25,61020,9065454,148,1047,192,18,5841,704,324,9.375,38964,106,810,367,193,9,1529,339,169,4.663213,53349,146,609,365,
26,60308,8085487,134,720,192,0,0,0,0,0.0,37639,102,508,367,193,0,0,0,0,0.0,58916,160,688,366,
27,61084,8520088,139,681,192,6,573,165,95,3.125,35992,98,460,366,193,0,0,0,0,0.0,56188,153,591,365,
28,61361,8019119,130,696,192,1,135,135,135,0.5208334,37621,102,495,366,193,0,0,0,0,0.0,59120,161,606,365,
29,61416,8135308,132,755,192,1,116,116,116,0.5208334,37821,103,522,367,193,0,0,0,0,0.0,61901,169,635,365,
30,61133,8099261,132,687,192,2,136,69,68,1.0416667,37813,103,513,367,193,0,0,0,0,0.0,61797,169,630,365,
31,61128,8212892,134,647,192,5,667,148,133,2.6041665,34354,93,458,366,193,0,0,0,0,0.0,64089,175,682,366,
32,60836,8513048,139,896,192,11,1330,225,120,5.729167,35301,96,448,366,193,2,228,135,114,1.0362694,58868,161,653,364,
33,60904,8668740,142,937,192,4,388,135,97,2.0833335,39529,107,522,367,193,1,116,116,116,0.5181347,59020,161,558,365,
34,60567,8370771,138,1098,191,3,495,225,165,1.5706805,38984,107,511,364,192,0,0,0,0,0.0,59921,164,673,364,
35,61430,8292974,134,709,192,1,66,66,66,0.5208334,37415,102,448,366,193,0,0,0,0,0.0,59947,163,616,366,
36,60818,8518928,140,825,192,5,570,165,114,2.6041665,40246,109,461,368,193,0,0,0,0,0.0,56793,155,679,365,
37,60776,8473528,139,913,192,10,1085,192,108,5.208333,34973,95,485,365,192,7,1040,255,148,3.6458333,59136,162,688,365,
38,60755,8501388,139,852,192,6,987,237,164,3.125,37067,101,529,365,193,0,0,0,0,0.0,58291,159,729,365,
39,60875,8275005,135,739,192,8,1259,295,157,4.166667,37443,102,524,367,193,3,408,201,136,1.5544041,55609,152,644,365,
40,61348,8738757,142,930,192,13,2506,388,192,6.7708335,36703,100,491,367,193,4,609,246,152,2.0725389,59538,162,625,366,
41,60531,8115546,134,954,192,6,874,243,145,3.125,35752,97,515,368,193,12,2098,313,174,6.2176166,59970,164,613,364,
42,60837,8387097,137,781,192,1,135,135,135,0.5208334,35914,98,465,366,193,0,0,0,0,0.0,58862,161,646,365,
43,61304,8301492,135,947,192,10,1582,291,158,5.208333,37147,101,518,366,193,2,178,109,89,1.0362694,54684,149,680,366,
44,60813,8179703,134,667,192,2,181,99,90,1.0416667,36359,99,467,366,193,0,0,0,0,0.0,61759,168,667,366,
45,60874,8182469,134,731,192,0,0,0,0,0.0,36700,100,485,367,193,0,0,0,0,0.0,62015,169,650,365,
46,61452,8328172,135,778,192,3,366,164,122,1.5625,38815,106,449,366,193,0,0,0,0,0.0,61364,167,638,366,
47,60524,8293631,137,846,192,4,434,185,108,2.0833335,39506,107,480,367,193,0,0,0,0,0.0,58846,160,633,366,
48,60991,8381215,137,880,192,0,0,0,0,0.0,37542,102,525,366,193,8,1317,300,164,4.1450777,60890,166,611,365,
49,60735,8251749,135,728,192,2,245,135,122,1.0416667,35029,95,439,366,193,1,124,124,124,0.5181347,60350,165,624,365,
50,60633,8503732,140,796,192,1,114,114,114,0.5208334,35590,97,483,366,193,1,135,135,135,0.5181347,61773,169,673,365,
51,60767,8953289,147,1155,192,20,3214,324,160,10.416666,37854,103,562,367,193,11,2926,511,266,5.699482,58259,159,662,365,
52,60694,8100813,133,669,192,6,852,272,142,3.125,36722,100,508,367,193,0,0,0,0,0.0,57685,158,546,365,
